FirstSatellite,SecondSatellite
Starlink-0-8,Starlink-1-9
Starlink-0-8,Starlink-2-8
Starlink-0-8,Starlink-2-10
Starlink-0-8,Starlink-0-9
Starlink-1-17,Starlink-0-16
Starlink-1-17,Starlink-2-19
Starlink-1-17,Starlink-2-17
Starlink-1-17,Starlink-1-18
Starlink-0-0,Starlink-1-1
Starlink-0-0,Starlink-2-0
Starlink-0-0,Starlink-2-2
Starlink-0-0,Starlink-0-2
Starlink-1-3,Starlink-0-2
Starlink-1-3,Starlink-2-5
Starlink-1-3,Starlink-2-3
Starlink-1-3,Starlink-1-1
Starlink-1-0,Starlink-0-21
Starlink-1-0,Starlink-2-2
Starlink-1-0,Starlink-2-0
Starlink-1-0,Starlink-1-21
Starlink-1-9,Starlink-0-8
Starlink-1-9,Starlink-2-11
Starlink-1-9,Starlink-2-9
Starlink-1-9,Starlink-1-11
Starlink-1-8,Starlink-0-7
Starlink-1-8,Starlink-2-10
Starlink-1-8,Starlink-2-8
Starlink-1-8,Starlink-1-6
Starlink-0-18,Starlink-1-19
Starlink-0-18,Starlink-2-18
Starlink-0-18,Starlink-2-20
Starlink-0-18,Starlink-0-20
Starlink-1-11,Starlink-0-10
Starlink-1-11,Starlink-2-13
Starlink-1-11,Starlink-2-11
Starlink-1-11,Starlink-1-9
Starlink-2-5,Starlink-1-3
Starlink-2-5,Starlink-1-5
Starlink-2-5,Starlink-0-5
Starlink-2-5,Starlink-0-3
Starlink-0-6,Starlink-1-7
Starlink-0-6,Starlink-2-6
Starlink-0-6,Starlink-2-8
Starlink-0-6,Starlink-0-7
Starlink-2-0,Starlink-1-0
Starlink-2-0,Starlink-1-20
Starlink-2-0,Starlink-0-0
Starlink-2-0,Starlink-0-20
Starlink-2-8,Starlink-1-6
Starlink-2-8,Starlink-1-8
Starlink-2-8,Starlink-0-8
Starlink-2-8,Starlink-0-6
Starlink-0-11,Starlink-1-12
Starlink-0-11,Starlink-2-11
Starlink-0-11,Starlink-2-13
Starlink-0-11,Starlink-0-13
Starlink-0-15,Starlink-1-16
Starlink-0-15,Starlink-2-15
Starlink-0-15,Starlink-2-17
Starlink-0-15,Starlink-0-17
Starlink-2-20,Starlink-1-18
Starlink-2-20,Starlink-1-20
Starlink-2-20,Starlink-0-20
Starlink-2-20,Starlink-0-18
Starlink-2-3,Starlink-1-1
Starlink-2-3,Starlink-1-3
Starlink-2-3,Starlink-0-3
Starlink-2-3,Starlink-0-1
Starlink-2-7,Starlink-1-5
Starlink-2-7,Starlink-1-7
Starlink-2-7,Starlink-0-7
Starlink-2-7,Starlink-0-5
Starlink-1-14,Starlink-0-13
Starlink-1-14,Starlink-2-16
Starlink-1-14,Starlink-2-14
Starlink-1-14,Starlink-1-13
Starlink-2-4,Starlink-1-2
Starlink-2-4,Starlink-1-4
Starlink-2-4,Starlink-0-4
Starlink-2-4,Starlink-0-2
Starlink-1-18,Starlink-0-17
Starlink-1-18,Starlink-2-20
Starlink-1-18,Starlink-2-18
Starlink-1-18,Starlink-1-17
Starlink-2-15,Starlink-1-13
Starlink-2-15,Starlink-1-15
Starlink-2-15,Starlink-0-15
Starlink-2-15,Starlink-0-13
Starlink-1-6,Starlink-0-5
Starlink-1-6,Starlink-2-8
Starlink-1-6,Starlink-2-6
Starlink-1-6,Starlink-1-8
Starlink-2-14,Starlink-1-12
Starlink-2-14,Starlink-1-14
Starlink-2-14,Starlink-0-14
Starlink-2-14,Starlink-0-12
Starlink-0-16,Starlink-1-17
Starlink-0-16,Starlink-2-16
Starlink-0-16,Starlink-2-18
Starlink-0-16,Starlink-0-14
Starlink-0-4,Starlink-1-5
Starlink-0-4,Starlink-2-4
Starlink-0-4,Starlink-2-6
Starlink-0-4,Starlink-0-5
Starlink-1-2,Starlink-0-1
Starlink-1-2,Starlink-2-4
Starlink-1-2,Starlink-2-2
Starlink-1-2,Starlink-1-4
Starlink-2-2,Starlink-1-0
Starlink-2-2,Starlink-1-2
Starlink-2-2,Starlink-0-2
Starlink-2-2,Starlink-0-0
Starlink-2-19,Starlink-1-17
Starlink-2-19,Starlink-1-19
Starlink-2-19,Starlink-0-19
Starlink-2-19,Starlink-0-17
Starlink-2-11,Starlink-1-9
Starlink-2-11,Starlink-1-11
Starlink-2-11,Starlink-0-11
Starlink-2-11,Starlink-0-9
Starlink-1-10,Starlink-0-9
Starlink-1-10,Starlink-2-12
Starlink-1-10,Starlink-2-10
Starlink-1-10,Starlink-1-12
Starlink-1-7,Starlink-0-6
Starlink-1-7,Starlink-2-9
Starlink-1-7,Starlink-2-7
Starlink-1-7,Starlink-1-5
Starlink-1-1,Starlink-0-0
Starlink-1-1,Starlink-2-3
Starlink-1-1,Starlink-2-1
Starlink-1-1,Starlink-1-3
Starlink-1-21,Starlink-0-20
Starlink-1-21,Starlink-2-1
Starlink-1-21,Starlink-2-21
Starlink-1-21,Starlink-1-0
Starlink-2-16,Starlink-1-14
Starlink-2-16,Starlink-1-16
Starlink-2-16,Starlink-0-16
Starlink-2-16,Starlink-0-14
Starlink-1-16,Starlink-0-15
Starlink-1-16,Starlink-2-18
Starlink-1-16,Starlink-2-16
Starlink-1-16,Starlink-1-15
Starlink-0-21,Starlink-1-0
Starlink-0-21,Starlink-2-1
Starlink-0-21,Starlink-2-21
Starlink-0-21,Starlink-0-19
Starlink-1-12,Starlink-0-11
Starlink-1-12,Starlink-2-14
Starlink-1-12,Starlink-2-12
Starlink-1-12,Starlink-1-10
Starlink-2-1,Starlink-1-1
Starlink-2-1,Starlink-1-21
Starlink-2-1,Starlink-0-1
Starlink-2-1,Starlink-0-21
Starlink-0-19,Starlink-1-20
Starlink-0-19,Starlink-2-19
Starlink-0-19,Starlink-2-21
Starlink-0-19,Starlink-0-21
Starlink-2-12,Starlink-1-10
Starlink-2-12,Starlink-1-12
Starlink-2-12,Starlink-0-12
Starlink-2-12,Starlink-0-10
Starlink-2-17,Starlink-1-15
Starlink-2-17,Starlink-1-17
Starlink-2-17,Starlink-0-17
Starlink-2-17,Starlink-0-15
Starlink-0-9,Starlink-1-10
Starlink-0-9,Starlink-2-9
Starlink-0-9,Starlink-2-11
Starlink-0-9,Starlink-0-8
Starlink-0-20,Starlink-1-21
Starlink-0-20,Starlink-2-0
Starlink-0-20,Starlink-2-20
Starlink-0-20,Starlink-0-18
Starlink-2-6,Starlink-1-4
Starlink-2-6,Starlink-1-6
Starlink-2-6,Starlink-0-6
Starlink-2-6,Starlink-0-4
Starlink-2-9,Starlink-1-7
Starlink-2-9,Starlink-1-9
Starlink-2-9,Starlink-0-9
Starlink-2-9,Starlink-0-7
Starlink-0-5,Starlink-1-6
Starlink-0-5,Starlink-2-5
Starlink-0-5,Starlink-2-7
Starlink-0-5,Starlink-0-4
Starlink-2-21,Starlink-1-19
Starlink-2-21,Starlink-1-21
Starlink-2-21,Starlink-0-21
Starlink-2-21,Starlink-0-19
Starlink-1-5,Starlink-0-4
Starlink-1-5,Starlink-2-7
Starlink-1-5,Starlink-2-5
Starlink-1-5,Starlink-1-7
Starlink-1-19,Starlink-0-18
Starlink-1-19,Starlink-2-21
Starlink-1-19,Starlink-2-19
Starlink-1-19,Starlink-1-20
Starlink-0-3,Starlink-1-4
Starlink-0-3,Starlink-2-3
Starlink-0-3,Starlink-2-5
Starlink-0-3,Starlink-0-1
Starlink-0-1,Starlink-1-2
Starlink-0-1,Starlink-2-1
Starlink-0-1,Starlink-2-3
Starlink-0-1,Starlink-0-3
Starlink-2-18,Starlink-1-16
Starlink-2-18,Starlink-1-18
Starlink-2-18,Starlink-0-18
Starlink-2-18,Starlink-0-16
Starlink-0-10,Starlink-1-11
Starlink-0-10,Starlink-2-10
Starlink-0-10,Starlink-2-12
Starlink-0-10,Starlink-0-12
Starlink-0-7,Starlink-1-8
Starlink-0-7,Starlink-2-7
Starlink-0-7,Starlink-2-9
Starlink-0-7,Starlink-0-6
Starlink-2-10,Starlink-1-8
